Path,Line Coverage,Function Coverage,Region Coverage
src/dovecot/src/lib-imap/fuzz-imap-bodystructure.c,53.85% (21/39),50.00% (1/2),73.21% (41/56)
src/dovecot/src/lib-imap/imap-arg.c,38.82% (33/85),38.46% (5/13),38.83% (40/103)
src/dovecot/src/lib-imap/imap-bodystructure.c,46.93% (336/716),61.11% (11/18),49.21% (375/762)
src/dovecot/src/lib-imap/imap-envelope.c,0.00% (0/182),0.00% (0/6),0.00% (0/166)
src/dovecot/src/lib-imap/imap-parser.c,60.27% (408/677),52.78% (19/36),57.46% (416/724)
src/dovecot/src/lib-imap/imap-quote.c,32.39% (57/176),62.50% (5/8),22.00% (55/250)
src/dovecot/src/lib-mail/rfc822-parser.h,0.00% (0/7),0.00% (0/1),0.00% (0/1)
src/dovecot/src/lib-test/fuzzer.c,29.09% (16/55),50.00% (2/4),29.55% (13/44)
src/dovecot/src/lib/array.c,0.00% (0/112),0.00% (0/12),0.00% (0/126)
src/dovecot/src/lib/array.h,40.54% (30/74),38.89% (7/18),28.12% (9/32)
src/dovecot/src/lib/backtrace-string.c,0.00% (0/32),0.00% (0/3),0.00% (0/26)
src/dovecot/src/lib/base64.c,0.00% (0/671),0.00% (0/13),0.00% (0/865)
src/dovecot/src/lib/base64.h,0.00% (0/97),0.00% (0/24),0.00% (0/34)
src/dovecot/src/lib/bits.c,83.33% (5/6),100.00% (1/1),80.00% (12/15)
src/dovecot/src/lib/bits.h,4.69% (3/64),8.33% (1/12),14.29% (2/14)
src/dovecot/src/lib/buffer.c,30.89% (80/259),40.00% (12/30),30.72% (98/319)
src/dovecot/src/lib/buffer.h,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/byteorder.h,0.00% (0/103),0.00% (0/16),0.00% (0/16)
src/dovecot/src/lib/compat.c,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/data-stack.c,41.27% (130/315),51.85% (14/27),39.56% (161/407)
src/dovecot/src/lib/env-util.c,0.00% (0/78),0.00% (0/10),0.00% (0/143)
src/dovecot/src/lib/event-filter-lexer.c,0.00% (0/702),0.00% (0/42),0.00% (0/509)
src/dovecot/src/lib/event-filter-parser.c,0.00% (0/510),0.00% (0/7),0.00% (0/348)
src/dovecot/src/lib/event-filter.c,0.60% (3/504),2.70% (1/37),0.18% (1/569)
src/dovecot/src/lib/event-log.c,0.00% (0/300),0.00% (0/23),0.00% (0/321)
src/dovecot/src/lib/failures.c,0.00% (0/597),0.00% (0/62),0.00% (0/431)
src/dovecot/src/lib/fd-util.c,6.60% (7/106),20.00% (1/5),4.63% (5/108)
src/dovecot/src/lib/hash-method.c,0.00% (0/43),0.00% (0/6),0.00% (0/51)
src/dovecot/src/lib/hash-method.h,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/hash.c,0.00% (0/369),0.00% (0/31),0.00% (0/440)
src/dovecot/src/lib/hex-binary.c,0.00% (0/56),0.00% (0/5),0.00% (0/55)
src/dovecot/src/lib/hmac.c,0.00% (0/92),0.00% (0/6),0.00% (0/147)
src/dovecot/src/lib/hmac.h,0.00% (0/11),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/hostpid.c,46.34% (19/41),33.33% (1/3),50.94% (27/53)
src/dovecot/src/lib/imem.c,6.25% (3/48),10.00% (1/10),2.04% (1/49)
src/dovecot/src/lib/ioloop-epoll.c,0.00% (0/153),0.00% (0/6),0.00% (0/188)
src/dovecot/src/lib/ioloop-iolist.c,0.00% (0/37),0.00% (0/2),0.00% (0/49)
src/dovecot/src/lib/ioloop-notify-fd.c,0.00% (0/32),0.00% (0/3),0.00% (0/29)
src/dovecot/src/lib/ioloop-notify-inotify.c,0.00% (0/152),0.00% (0/8),0.00% (0/124)
src/dovecot/src/lib/ioloop.c,1.60% (14/876),2.38% (2/84),2.40% (26/1084)
