Path,Line Coverage,Function Coverage,Region Coverage
src/dovecot/src/lib-imap/fuzz-imap-utf7.c,100.00% (7/7),100.00% (1/1),92.00% (23/25)
src/dovecot/src/lib-imap/imap-utf7.c,76.19% (208/273),61.54% (8/13),70.27% (208/296)
src/dovecot/src/lib-test/fuzzer.c,29.09% (16/55),50.00% (2/4),29.55% (13/44)
src/dovecot/src/lib/array.c,0.00% (0/112),0.00% (0/12),0.00% (0/126)
src/dovecot/src/lib/array.h,36.14% (30/83),36.84% (7/19),27.27% (9/33)
src/dovecot/src/lib/backtrace-string.c,0.00% (0/32),0.00% (0/3),0.00% (0/26)
src/dovecot/src/lib/base64.c,0.00% (0/671),0.00% (0/13),0.00% (0/865)
src/dovecot/src/lib/base64.h,0.00% (0/97),0.00% (0/24),0.00% (0/34)
src/dovecot/src/lib/bits.c,83.33% (5/6),100.00% (1/1),80.00% (12/15)
src/dovecot/src/lib/bits.h,4.69% (3/64),8.33% (1/12),14.29% (2/14)
src/dovecot/src/lib/buffer.c,29.34% (76/259),36.67% (11/30),30.41% (97/319)
src/dovecot/src/lib/buffer.h,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/byteorder.h,0.00% (0/103),0.00% (0/16),0.00% (0/16)
src/dovecot/src/lib/compat.c,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/data-stack.c,59.04% (160/271),61.90% (13/21),53.85% (154/286)
src/dovecot/src/lib/env-util.c,0.00% (0/77),0.00% (0/10),0.00% (0/98)
src/dovecot/src/lib/event-filter-lexer.c,0.00% (0/706),0.00% (0/42),0.00% (0/509)
src/dovecot/src/lib/event-filter-parser.c,0.00% (0/510),0.00% (0/7),0.00% (0/348)
src/dovecot/src/lib/event-filter.c,0.60% (3/499),2.78% (1/36),0.18% (1/557)
src/dovecot/src/lib/event-log.c,0.00% (0/283),0.00% (0/23),0.00% (0/230)
src/dovecot/src/lib/failures.c,0.00% (0/592),0.00% (0/61),0.00% (0/425)
src/dovecot/src/lib/fd-util.c,6.60% (7/106),20.00% (1/5),4.63% (5/108)
src/dovecot/src/lib/hash-method.c,0.00% (0/43),0.00% (0/6),0.00% (0/51)
src/dovecot/src/lib/hash-method.h,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/hash.c,0.00% (0/369),0.00% (0/31),0.00% (0/440)
src/dovecot/src/lib/hex-binary.c,0.00% (0/56),0.00% (0/5),0.00% (0/55)
src/dovecot/src/lib/hmac.c,0.00% (0/92),0.00% (0/6),0.00% (0/147)
src/dovecot/src/lib/hmac.h,0.00% (0/11),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/hostpid.c,46.34% (19/41),33.33% (1/3),50.94% (27/53)
src/dovecot/src/lib/imem.c,6.25% (3/48),10.00% (1/10),2.04% (1/49)
src/dovecot/src/lib/ioloop-epoll.c,0.00% (0/153),0.00% (0/6),0.00% (0/188)
src/dovecot/src/lib/ioloop-iolist.c,0.00% (0/37),0.00% (0/2),0.00% (0/49)
src/dovecot/src/lib/ioloop-notify-fd.c,0.00% (0/32),0.00% (0/3),0.00% (0/29)
src/dovecot/src/lib/ioloop-notify-inotify.c,0.00% (0/152),0.00% (0/8),0.00% (0/124)
src/dovecot/src/lib/ioloop.c,1.61% (14/867),2.41% (2/83),2.50% (26/1038)
src/dovecot/src/lib/iostream-pump.c,3.01% (5/166),7.14% (1/14),3.89% (11/283)
src/dovecot/src/lib/iostream.c,0.00% (0/95),0.00% (0/15),0.00% (0/115)
src/dovecot/src/lib/ipwd.c,0.00% (0/69),0.00% (0/7),0.00% (0/70)
src/dovecot/src/lib/istream-data.c,0.00% (0/43),0.00% (0/5),0.00% (0/39)
src/dovecot/src/lib/istream.c,0.00% (0/857),0.00% (0/76),0.00% (0/872)
src/dovecot/src/lib/istream.h,0.00% (0/9),0.00% (0/2),0.00% (0/22)
src/dovecot/src/lib/lib-event.c,1.00% (9/902),2.25% (2/89),2.12% (19/897)
src/dovecot/src/lib/lib-signals.c,5.01% (22/439),10.00% (3/30),5.26% (29/551)
src/dovecot/src/lib/lib.c,36.36% (36/99),36.36% (4/11),36.08% (35/97)
src/dovecot/src/lib/lib.h,0.00% (0/10),0.00% (0/3),0.00% (0/13)
src/dovecot/src/lib/malloc-overflow.h,50.00% (10/20),100.00% (2/2),77.78% (14/18)
src/dovecot/src/lib/md4.c,0.00% (0/162),0.00% (0/8),0.00% (0/122)
src/dovecot/src/lib/md5.c,0.00% (0/179),0.00% (0/8),0.00% (0/154)
src/dovecot/src/lib/memarea.c,0.00% (0/49),0.00% (0/9),0.00% (0/108)
src/dovecot/src/lib/mempool-alloconly.c,0.00% (0/176),0.00% (0/15),0.00% (0/248)
src/dovecot/src/lib/mempool-datastack.c,50.82% (31/61),44.44% (4/9),32.91% (26/79)
src/dovecot/src/lib/mempool-system.c,15.00% (6/40),12.50% (1/8),11.76% (4/34)
src/dovecot/src/lib/mempool-unsafe-datastack.c,10.34% (3/29),12.50% (1/8),7.69% (1/13)
src/dovecot/src/lib/mempool.c,100.00% (10/10),100.00% (1/1),84.00% (21/25)
src/dovecot/src/lib/mempool.h,41.67% (15/36),50.00% (4/8),59.38% (19/32)
src/dovecot/src/lib/net.c,0.00% (0/735),0.00% (0/51),0.00% (0/742)
src/dovecot/src/lib/ostream-file.c,0.00% (0/813),0.00% (0/37),0.00% (0/959)
src/dovecot/src/lib/ostream.c,0.00% (0/547),0.00% (0/65),0.00% (0/612)
src/dovecot/src/lib/ostream.h,0.00% (0/4),0.00% (0/1),0.00% (0/1)
src/dovecot/src/lib/pkcs5.c,0.00% (0/55),0.00% (0/3),0.00% (0/36)
src/dovecot/src/lib/primes.c,0.00% (0/8),0.00% (0/1),0.00% (0/9)
src/dovecot/src/lib/printf-format-fix.c,46.34% (57/123),66.67% (4/6),49.51% (51/103)
src/dovecot/src/lib/priorityq.c,0.00% (0/101),0.00% (0/12),0.00% (0/133)
src/dovecot/src/lib/process-title.c,0.00% (0/100),0.00% (0/7),0.00% (0/108)
src/dovecot/src/lib/rand.c,0.00% (0/12),0.00% (0/2),0.00% (0/14)
src/dovecot/src/lib/randgen.c,63.93% (39/61),80.00% (4/5),60.00% (48/80)
src/dovecot/src/lib/restrict-access.c,0.00% (0/381),0.00% (0/22),0.00% (0/362)
src/dovecot/src/lib/safe-memset.c,0.00% (0/9),0.00% (0/1),0.00% (0/6)
src/dovecot/src/lib/sendfile-util.c,0.00% (0/25),0.00% (0/1),0.00% (0/38)
src/dovecot/src/lib/sha1.c,0.00% (0/157),0.00% (0/9),0.00% (0/154)
src/dovecot/src/lib/sha2.c,0.00% (0/288),0.00% (0/24),0.00% (0/198)
src/dovecot/src/lib/sha3.c,0.00% (0/148),0.00% (0/14),0.00% (0/159)
src/dovecot/src/lib/sleep.c,0.00% (0/46),0.00% (0/7),0.00% (0/27)
src/dovecot/src/lib/str.c,38.95% (37/95),28.57% (4/14),33.33% (30/90)
src/dovecot/src/lib/str.h,48.39% (15/31),50.00% (5/10),41.67% (5/12)
src/dovecot/src/lib/strescape.c,0.00% (0/248),0.00% (0/14),0.00% (0/196)
src/dovecot/src/lib/strescape.h,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/dovecot/src/lib/strfuncs.c,6.36% (37/582),6.56% (4/61),9.29% (52/560)
src/dovecot/src/lib/strfuncs.h,0.00% (0/7),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/strnum.c,0.00% (0/298),0.00% (0/28),0.00% (0/288)
src/dovecot/src/lib/time-util.c,0.00% (0/122),0.00% (0/12),0.00% (0/120)
src/dovecot/src/lib/time-util.h,0.00% (0/49),0.00% (0/7),0.00% (0/33)
src/dovecot/src/lib/unichar.c,23.81% (75/315),12.50% (3/24),19.59% (67/342)
src/dovecot/src/lib/unichar.h,40.00% (10/25),50.00% (2/4),88.89% (16/18)
src/dovecot/src/lib/var-expand-if.c,0.00% (0/103),0.00% (0/2),0.00% (0/149)
src/dovecot/src/lib/var-expand.c,4.44% (18/405),4.17% (1/24),3.55% (13/366)
src/dovecot/src/lib/var-expand.h,0.00% (0/7),0.00% (0/1),0.00% (0/10)
src/dovecot/src/lib/wildcard-match.c,0.00% (0/68),0.00% (0/3),0.00% (0/69)
src/dovecot/src/lib/write-full.c,0.00% (0/32),0.00% (0/2),0.00% (0/37)
Totals,6.09% (986/16183),7.52% (100/1329),6.32% (1039/16431)
