Path,Line Coverage,Function Coverage,Region Coverage
src/dovecot/src/lib-mail/fuzz-message-parser.c,100.00% (19/19),100.00% (1/1),90.00% (27/30)
src/dovecot/src/lib-mail/message-header-parser.c,63.55% (190/299),57.14% (4/7),52.19% (179/343)
src/dovecot/src/lib-mail/message-parser.c,90.59% (549/606),92.59% (25/27),82.08% (783/954)
src/dovecot/src/lib-mail/message-size.c,4.24% (5/118),25.00% (1/4),0.53% (1/188)
src/dovecot/src/lib-mail/rfc2231-parser.c,100.00% (134/134),100.00% (3/3),85.79% (163/190)
src/dovecot/src/lib-mail/rfc822-parser.c,54.86% (175/319),53.85% (7/13),51.60% (193/374)
src/dovecot/src/lib-mail/rfc822-parser.h,57.14% (4/7),100.00% (1/1),83.33% (10/12)
src/dovecot/src/lib-test/fuzzer.c,29.09% (16/55),50.00% (2/4),29.55% (13/44)
src/dovecot/src/lib-test/test-istream.c,65.09% (69/106),33.33% (3/9),66.02% (68/103)
src/dovecot/src/lib/array.c,6.25% (7/112),8.33% (1/12),3.17% (4/126)
src/dovecot/src/lib/array.h,49.40% (41/83),52.63% (10/19),63.64% (21/33)
src/dovecot/src/lib/backtrace-string.c,0.00% (0/32),0.00% (0/3),0.00% (0/26)
src/dovecot/src/lib/base64.c,0.00% (0/671),0.00% (0/13),0.00% (0/865)
src/dovecot/src/lib/base64.h,0.00% (0/97),0.00% (0/24),0.00% (0/34)
src/dovecot/src/lib/bits.c,83.33% (5/6),100.00% (1/1),80.00% (12/15)
src/dovecot/src/lib/bits.h,4.69% (3/64),8.33% (1/12),14.29% (2/14)
src/dovecot/src/lib/buffer.c,39.00% (101/259),46.67% (14/30),41.69% (133/319)
src/dovecot/src/lib/buffer.h,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/byteorder.h,0.00% (0/103),0.00% (0/16),0.00% (0/16)
src/dovecot/src/lib/compat.c,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/data-stack.c,61.43% (180/293),68.00% (17/25),53.01% (194/366)
src/dovecot/src/lib/env-util.c,0.00% (0/77),0.00% (0/10),0.00% (0/98)
src/dovecot/src/lib/event-filter-lexer.c,0.00% (0/706),0.00% (0/42),0.00% (0/509)
src/dovecot/src/lib/event-filter-parser.c,0.00% (0/510),0.00% (0/7),0.00% (0/348)
src/dovecot/src/lib/event-filter.c,0.58% (3/518),2.63% (1/38),0.17% (1/586)
src/dovecot/src/lib/event-log.c,7.33% (22/300),8.70% (2/23),8.72% (28/321)
src/dovecot/src/lib/failures.c,0.00% (0/592),0.00% (0/61),0.00% (0/425)
src/dovecot/src/lib/fd-util.c,6.60% (7/106),20.00% (1/5),4.63% (5/108)
src/dovecot/src/lib/hash-method.c,0.00% (0/43),0.00% (0/6),0.00% (0/51)
src/dovecot/src/lib/hash-method.h,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/hash.c,0.00% (0/369),0.00% (0/31),0.00% (0/440)
src/dovecot/src/lib/hex-binary.c,0.00% (0/56),0.00% (0/5),0.00% (0/55)
src/dovecot/src/lib/hmac.c,0.00% (0/92),0.00% (0/6),0.00% (0/147)
src/dovecot/src/lib/hmac.h,0.00% (0/11),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/hostpid.c,46.34% (19/41),33.33% (1/3),50.94% (27/53)
src/dovecot/src/lib/imem.c,20.83% (10/48),30.00% (3/10),22.45% (11/49)
src/dovecot/src/lib/ioloop-epoll.c,0.00% (0/153),0.00% (0/6),0.00% (0/188)
src/dovecot/src/lib/ioloop-iolist.c,0.00% (0/37),0.00% (0/2),0.00% (0/49)
src/dovecot/src/lib/ioloop-notify-fd.c,0.00% (0/32),0.00% (0/3),0.00% (0/29)
