Path,Line Coverage,Function Coverage,Region Coverage
src/dovecot/src/lib-auth/auth-client-connection.c,0.00% (0/365),0.00% (0/26),0.00% (0/583)
src/dovecot/src/lib-auth/auth-client-request.c,0.00% (0/278),0.00% (0/14),0.00% (0/266)
src/dovecot/src/lib-auth/auth-client.c,0.00% (0/62),0.00% (0/11),0.00% (0/70)
src/dovecot/src/lib-mail/istream-dot.c,0.00% (0/175),0.00% (0/7),0.00% (0/175)
src/dovecot/src/lib-mail/message-address.c,0.00% (0/457),0.00% (0/25),0.00% (0/580)
src/dovecot/src/lib-mail/message-date.c,0.00% (0/183),0.00% (0/5),0.00% (0/255)
src/dovecot/src/lib-mail/rfc822-parser.c,0.00% (0/319),0.00% (0/13),0.00% (0/374)
src/dovecot/src/lib-mail/rfc822-parser.h,0.00% (0/7),0.00% (0/1),0.00% (0/12)
src/dovecot/src/lib-master/master-instance.c,0.00% (0/243),0.00% (0/17),0.00% (0/252)
src/dovecot/src/lib-master/master-login-auth.c,0.00% (0/396),0.00% (0/26),0.00% (0/494)
src/dovecot/src/lib-master/master-login.c,0.00% (0/383),0.00% (0/17),0.00% (0/435)
src/dovecot/src/lib-master/master-service-haproxy.c,0.00% (0/440),0.00% (0/14),0.00% (0/327)
src/dovecot/src/lib-master/master-service-settings.c,0.00% (0/531),0.00% (0/23),0.00% (0/570)
src/dovecot/src/lib-master/master-service-ssl-settings.c,0.00% (0/64),0.00% (0/7),0.00% (0/31)
src/dovecot/src/lib-master/master-service-ssl.c,0.00% (0/70),0.00% (0/4),0.00% (0/59)
src/dovecot/src/lib-master/master-service.c,0.00% (0/966),0.00% (0/73),0.00% (0/1201)
src/dovecot/src/lib-master/stats-client.c,0.00% (0/237),0.00% (0/19),0.00% (0/224)
src/dovecot/src/lib-master/syslog-util.c,0.00% (0/10),0.00% (0/1),0.00% (0/11)
src/dovecot/src/lib-settings/settings-parser.c,0.00% (0/1640),0.00% (0/71),0.00% (0/2102)
src/dovecot/src/lib-smtp/fuzz-smtp-server.c,55.93% (33/59),50.00% (3/6),60.00% (33/55)
src/dovecot/src/lib-smtp/smtp-address.c,0.00% (0/658),0.00% (0/32),0.00% (0/780)
src/dovecot/src/lib-smtp/smtp-address.h,0.00% (0/14),0.00% (0/4),0.00% (0/15)
src/dovecot/src/lib-smtp/smtp-command-parser.c,75.74% (306/404),81.25% (13/16),74.29% (315/424)
src/dovecot/src/lib-smtp/smtp-command.h,0.00% (0/8),0.00% (0/1),0.00% (0/7)
src/dovecot/src/lib-smtp/smtp-common.c,0.00% (0/44),0.00% (0/3),0.00% (0/43)
src/dovecot/src/lib-smtp/smtp-common.h,36.36% (4/11),100.00% (1/1),28.57% (2/7)
src/dovecot/src/lib-smtp/smtp-params.c,0.00% (0/886),0.00% (0/54),0.00% (0/805)
src/dovecot/src/lib-smtp/smtp-params.h,0.00% (0/3),0.00% (0/1),0.00% (0/2)
src/dovecot/src/lib-smtp/smtp-parser.c,50.17% (152/303),83.33% (10/12),51.67% (170/329)
src/dovecot/src/lib-smtp/smtp-parser.h,33.33% (9/27),33.33% (3/9),33.33% (3/9)
src/dovecot/src/lib-smtp/smtp-reply-parser.c,7.24% (28/387),5.88% (1/17),9.40% (41/436)
src/dovecot/src/lib-smtp/smtp-reply.c,23.58% (29/123),16.67% (2/12),31.01% (40/129)
src/dovecot/src/lib-smtp/smtp-reply.h,0.00% (0/12),0.00% (0/4),0.00% (0/6)
src/dovecot/src/lib-smtp/smtp-server-cmd-auth.c,7.95% (12/151),14.29% (1/7),1.52% (3/197)
src/dovecot/src/lib-smtp/smtp-server-cmd-data.c,35.62% (156/438),47.62% (10/21),30.90% (212/686)
src/dovecot/src/lib-smtp/smtp-server-cmd-helo.c,86.13% (118/137),100.00% (7/7),79.62% (125/157)
src/dovecot/src/lib-smtp/smtp-server-cmd-mail.c,16.56% (25/151),40.00% (2/5),8.42% (16/190)
src/dovecot/src/lib-smtp/smtp-server-cmd-noop.c,78.12% (25/32),100.00% (2/2),56.41% (22/39)
src/dovecot/src/lib-smtp/smtp-server-cmd-quit.c,76.00% (19/25),100.00% (1/1),46.43% (13/28)
src/dovecot/src/lib-smtp/smtp-server-cmd-rcpt.c,17.68% (29/164),28.57% (2/7),8.87% (18/203)
src/dovecot/src/lib-smtp/smtp-server-cmd-rset.c,78.57% (33/42),100.00% (3/3),63.49% (40/63)
src/dovecot/src/lib-smtp/smtp-server-cmd-starttls.c,9.17% (10/109),20.00% (1/5),3.23% (5/155)
src/dovecot/src/lib-smtp/smtp-server-cmd-vrfy.c,78.79% (26/33),100.00% (2/2),59.52% (25/42)
src/dovecot/src/lib-smtp/smtp-server-cmd-xclient.c,0.00% (0/161),0.00% (0/5),0.00% (0/163)
src/dovecot/src/lib-smtp/smtp-server-command.c,71.51% (379/530),77.78% (28/36),60.86% (510/838)
src/dovecot/src/lib-smtp/smtp-server-connection.c,46.18% (508/1100),56.16% (41/73),43.62% (612/1403)
src/dovecot/src/lib-smtp/smtp-server-private.h,83.33% (5/6),100.00% (1/1),100.00% (8/8)
src/dovecot/src/lib-smtp/smtp-server-recipient.c,0.00% (0/235),0.00% (0/21),0.00% (0/371)
src/dovecot/src/lib-smtp/smtp-server-reply.c,49.66% (294/592),65.96% (31/47),41.18% (364/884)
src/dovecot/src/lib-smtp/smtp-server-transaction.c,0.00% (0/260),0.00% (0/13),0.00% (0/267)
src/dovecot/src/lib-smtp/smtp-server.c,60.00% (57/95),60.00% (3/5),49.02% (25/51)
src/dovecot/src/lib-smtp/smtp-syntax.c,15.45% (34/220),16.67% (2/12),11.24% (29/258)
